"OutcomeType","gender","hasName","ageWeeks","isDog","isMix","month","weekday","hourOfDay","isFixed","newBreed","newColor"
NA,"Female","1",40,"1","1",10,"Monday",12,"0","Labrador Retriever Mix","Red/White"
NA,"Female","1",104,"1","0",7,"Saturday",17,"1","Other","Black/Tan"
NA,"Male","1",52,"0","1",1,"Wednesday",12,"1","Domestic Shorthair Mix","Brown Tabby"
NA,"Male","1",16,"1","1",12,"Saturday",18,"0","Other","Tricolor"
NA,"Male","1",104,"1","1",9,"Thursday",17,"1","Miniature Poodle Mix","White"
NA,"Male","1",156,"1","1",6,"Tuesday",11,"1","Beagle Mix","Brown/White"
NA,"Male","1",676,"0","1",3,"Wednesday",9,"1","Domestic Medium Hair Mix","Brown Tabby/White"
NA,"Female","1",24,"0","1",6,"Wednesday",8,"1","Domestic Shorthair Mix","Brown Tabby"
NA,"Female","1",12,"1","0",11,"Wednesday",18,"1","Other","Other"
NA,"Female","1",52,"1","1",4,"Monday",17,"1","Pit Bull Mix","Brown/White"
NA,"Female","1",20,"1","1",1,"Wednesday",17,"1","Labrador Retriever Mix","White/Black"
NA,"Female","1",104,"1","1",9,"Friday",15,"0","Pit Bull Mix","Blue/White"
NA,"Female","1",24,"1","1",1,"Sunday",15,"1","Pit Bull Mix","Brown Brindle"
NA,"Male","0",104,"1","1",9,"Tuesday",18,"1","Miniature Poodle Mix","White"
NA,"Male","1",52,"1","0",7,"Sunday",19,"1","Other","Black/Brown"
NA,"Female","1",16,"1","0",3,"Wednesday",18,"1","Other","White"
NA,"Male","1",260,"1","1",5,"Friday",17,"1","Other","Black/Tan"
NA,"Male","1",156,"1","0",1,"Tuesday",19,"1","Other","Other"
NA,"Female","1",156,"0","1",6,"Monday",12,"1","Domestic Shorthair Mix","Torbie"
NA,"Female","0",208,"0","1",2,"Tuesday",19,"0","Domestic Shorthair Mix","Torbie"
NA,"Female","1",104,"0","1",11,"Friday",19,"1","Domestic Shorthair Mix","Black"
NA,"Unknown","0",3,"0","1",5,"Monday",13,"0","Domestic Shorthair Mix","Black"
NA,"Male","1",52,"1","1",6,"Saturday",14,"1","Other","White/Tan"
NA,"Female","0",1,"0","1",7,"Sunday",15,"0","Domestic Shorthair Mix","Tortie"
NA,"Female","1",52,"1","0",10,"Saturday",16,"1","Other","Tan"
NA,"Male","0",52,"0","1",12,"Monday",13,"1","Domestic Shorthair Mix","Brown Tabby"
NA,"Female","1",8,"0","1",7,"Thursday",16,"1","Domestic Medium Hair Mix","Other"
NA,"Male","0",8,"1","1",3,"Thursday",8,"0","Other","Brown"
NA,"Male","1",156,"1","1",10,"Thursday",17,"1","Labrador Retriever Mix","Black/White"
NA,"Male","1",104,"1","1",5,"Tuesday",17,"1","Labrador Retriever Mix","Black"
NA,"Female","0",208,"1","1",5,"Tuesday",15,"1","Other","Black/White"
NA,"Female","1",8,"1","0",1,"Saturday",11,"1","Chihuahua Shorthair/Dachshund","Black/White"
NA,"Male","0",104,"0","1",11,"Thursday",15,"1","Domestic Medium Hair Mix","Brown Tabby"
NA,"Male","1",8,"0","1",4,"Saturday",18,"1","Domestic Shorthair Mix","Brown Tabby/White"
NA,"Female","1",8,"0","1",8,"Sunday",12,"0","Domestic Shorthair Mix","Tortie"
NA,"Male","1",52,"1","1",3,"Monday",12,"1","Australian Cattle Dog Mix","Other"
NA,"Male","0",156,"0","1",11,"Tuesday",9,"1","Domestic Shorthair Mix","Brown Tabby"
NA,"Male","1",8,"1","1",12,"Saturday",17,"1","Labrador Retriever Mix","Black/White"
NA,"Female","1",208,"1","0",12,"Wednesday",15,"1","Other","Tan"
NA,"Male","0",52,"1","1",2,"Thursday",14,"1","Other","Other"
NA,"Female","1",36,"1","1",10,"Saturday",16,"0","Beagle Mix","Tricolor"
NA,"Male","0",0.57,"0","1",5,"Tuesday",13,"0","Domestic Shorthair Mix","Orange Tabby"
NA,"Female","1",52,"0","1",12,"Sunday",12,"1","Domestic Shorthair Mix","Black/White"
NA,"Male","0",2,"0","1",10,"Wednesday",11,"0","Domestic Medium Hair Mix","Blue"
NA,"Male","0",104,"0","1",4,"Thursday",12,"1","Domestic Shorthair Mix","Blue Tabby"
NA,"Female","0",104,"1","0",2,"Monday",14,"1","Other","Tricolor"
NA,"Female","1",156,"0","1",3,"Friday",12,"1","Domestic Shorthair Mix","Orange Tabby/White"
NA,"Male","1",104,"1","1",11,"Saturday",15,"1","Pit Bull Mix","Brown Brindle/White"
NA,"Female","1",208,"1","1",7,"Monday",13,"1","Other","White/Black"
NA,"Male","1",28,"1","0",5,"Friday",15,"0","Other","Other"
NA,"Male","1",12,"0","1",7,"Wednesday",13,"0","Domestic Longhair Mix","Blue Tabby/White"
NA,"Female","1",468,"1","1",7,"Sunday",11,"1","Other","Black/Brown"
NA,"Male","1",8,"0","1",5,"Saturday",16,"1","Domestic Shorthair Mix","Brown Tabby"
NA,"Female","1",4,"0","1",10,"Tuesday",16,"0","Domestic Shorthair Mix","Blue/White"
NA,"Unknown","0",156,"0","1",1,"Saturday",17,"0","Siamese Mix","White/Brown"
NA,"Female","1",468,"0","1",10,"Monday",16,"1","Domestic Shorthair Mix","Brown Tabby/White"
NA,"Male","1",52,"1","1",1,"Wednesday",17,"1","Catahoula Mix","Other"
NA,"Unknown","0",1,"0","1",6,"Tuesday",12,"0","Domestic Shorthair Mix","Tortie"
NA,"Female","0",104,"0","1",4,"Saturday",9,"0","Domestic Shorthair Mix","Tortie"
NA,"Male","1",8,"1","0",9,"Wednesday",13,"1","Other","Black"
NA,"Male","0",104,"1","0",7,"Wednesday",19,"1","Other","Other"
NA,"Male","1",208,"1","1",11,"Tuesday",11,"1","Pit Bull Mix","Tan/White"
NA,"Male","1",52,"0","1",3,"Wednesday",11,"1","Other","Black"
NA,"Male","0",3,"0","1",6,"Wednesday",12,"0","Domestic Shorthair Mix","Brown Tabby"
NA,"Male","0",12,"0","1",8,"Wednesday",9,"0","Domestic Shorthair Mix","Brown Tabby"
NA,"Female","1",52,"1","1",10,"Saturday",18,"1","Chihuahua Shorthair Mix","Black/Brown"
NA,"Female","1",12,"0","1",11,"Sunday",18,"1","Domestic Shorthair Mix","Tortie"
NA,"Female","1",624,"1","1",6,"Thursday",12,"0","Chihuahua Shorthair Mix","Black/Tan"
NA,"Male","1",104,"1","1",6,"Wednesday",17,"1","Boxer Mix","Blue/White"
NA,"Female","0",52,"0","1",8,"Sunday",9,"0","Domestic Shorthair Mix","Tortie"
NA,"Female","0",12,"1","0",1,"Wednesday",13,"0","Other","White/Tan"
NA,"Female","1",8,"1","1",2,"Saturday",17,"1","Other","Brown/White"
NA,"Unknown","0",1,"0","1",6,"Friday",10,"0","Domestic Shorthair Mix","Other"
NA,"Male","1",104,"1","1",10,"Wednesday",12,"1","Chihuahua Shorthair Mix","Brown"
NA,"Female","0",3,"0","1",8,"Friday",16,"0","Domestic Medium Hair Mix","Orange Tabby/White"
NA,"Female","1",8,"0","1",8,"Sunday",11,"0","Domestic Longhair Mix","Brown Tabby"
NA,"Female","1",8,"0","1",11,"Saturday",12,"1","Domestic Medium Hair Mix","Tortie"
NA,"Male","0",156,"0","1",6,"Wednesday",9,"1","Domestic Shorthair Mix","Black"
NA,"Female","1",156,"1","0",8,"Monday",14,"1","Other","Other"
NA,"Male","1",4,"0","0",8,"Wednesday",17,"1","Domestic Shorthair","Brown Tabby/White"
NA,"Male","0",0.86,"0","1",4,"Saturday",17,"0","Domestic Shorthair Mix","Brown Tabby"
NA,"Unknown","0",1,"0","1",6,"Friday",19,"0","Domestic Shorthair Mix","Blue/White"
NA,"Male","1",52,"1","1",2,"Sunday",17,"1","Other","Blue/White"
NA,"Male","0",2,"0","1",7,"Saturday",12,"0","Domestic Shorthair Mix","Other"
NA,"Male","1",312,"1","1",10,"Thursday",19,"1","Other","Tricolor"
NA,"Male","0",8,"0","1",12,"Tuesday",15,"0","Domestic Shorthair Mix","Blue Tabby/White"
NA,"Female","1",104,"1","1",3,"Friday",18,"0","Pit Bull Mix","Brown/White"
NA,"Female","1",52,"1","1",4,"Thursday",15,"1","Pit Bull Mix","Other"
NA,"Female","0",52,"0","1",7,"Monday",15,"0","Domestic Shorthair Mix","Other"
NA,"Female","1",12,"0","1",12,"Sunday",14,"1","Siamese Mix","Other"
NA,"Male","0",312,"0","1",6,"Saturday",9,"0","Domestic Shorthair Mix","Brown Tabby/White"
NA,"Male","0",156,"0","1",10,"Monday",9,"0","Domestic Shorthair Mix","Black"
NA,"Female","1",8,"0","1",6,"Wednesday",14,"1","Domestic Longhair Mix","Blue"
NA,"Male","1",156,"1","1",5,"Saturday",15,"1","Chihuahua Shorthair Mix","Black"
NA,"Female","0",104,"0","1",8,"Monday",9,"1","Domestic Shorthair Mix","Calico"
NA,"Male","1",104,"1","1",6,"Sunday",19,"1","Jack Russell Terrier Mix","Tricolor"
NA,"Female","1",156,"1","1",10,"Sunday",15,"1","Labrador Retriever Mix","White"
NA,"Male","0",3,"0","1",8,"Saturday",18,"0","Domestic Shorthair Mix","Brown Tabby"
NA,"Female","1",8,"0","1",10,"Wednesday",16,"0","Domestic Medium Hair Mix","Calico"
NA,"Female","1",156,"1","1",10,"Tuesday",16,"1","Beagle Mix","Other"
NA,"Male","1",8,"0","1",5,"Monday",15,"1","Domestic Shorthair Mix","Black"
NA,"Female","1",52,"0","1",7,"Saturday",19,"1","Domestic Shorthair Mix","Black"
NA,"Male","1",104,"1","0",12,"Saturday",11,"1","Other","White"
NA,"Male","1",52,"1","1",12,"Friday",13,"1","Labrador Retriever Mix","Other"
NA,"Female","1",52,"0","1",1,"Monday",12,"1","Domestic Shorthair Mix","Torbie"
NA,"Male","1",52,"1","1",1,"Sunday",15,"1","Labrador Retriever Mix","Black"
NA,"Male","1",156,"1","0",9,"Monday",17,"1","Other","White"
NA,"Female","1",156,"1","1",12,"Saturday",15,"0","Yorkshire Terrier Mix","Brown/Black"
NA,"Female","1",4,"0","0",9,"Tuesday",18,"1","Other","Other"
NA,"Female","1",156,"0","1",12,"Wednesday",11,"1","Other","Blue"
NA,"Female","1",208,"1","1",11,"Sunday",16,"1","Beagle Mix","Brown/Black"
NA,"Male","1",52,"1","1",4,"Sunday",15,"1","Pit Bull Mix","Brown Brindle/White"
NA,"Male","1",416,"1","0",1,"Tuesday",12,"1","Other","Tan"
NA,"Male","1",156,"1","1",11,"Tuesday",13,"1","German Shepherd Mix","White"
