"OutcomeType","gender","hasName","ageWeeks","isDog","isMix","month","weekday","hourOfDay","isFixed","newBreed","newColor"
"Return_to_owner","Male","1",52,"1","1",2,"Wednesday",18,"1","Other","Brown/White"
"Euthanasia","Female","1",52,"0","1",10,"Sunday",12,"1","Domestic Shorthair Mix","Other"
"Adoption","Male","1",104,"1","1",1,"Saturday",12,"1","Pit Bull Mix","Blue/White"
"Transfer","Male","0",3,"0","1",7,"Friday",19,"0","Domestic Shorthair Mix","Other"
"Transfer","Male","0",104,"1","0",11,"Friday",12,"1","Other","Tan"
"Transfer","Female","1",4,"1","0",4,"Friday",13,"0","Other","Black/Tan"
"Transfer","Male","1",3,"0","1",3,"Saturday",13,"0","Domestic Shorthair Mix","Blue Tabby"
"Transfer","Unknown","0",3,"0","1",4,"Thursday",17,"0","Domestic Shorthair Mix","Brown Tabby"
"Adoption","Female","1",20,"1","1",2,"Tuesday",17,"1","Other","Red/White"
"Adoption","Female","0",52,"1","0",5,"Saturday",7,"1","Other","White"
"Transfer","Unknown","0",104,"0","1",12,"Thursday",15,"0","Domestic Shorthair Mix","Black"
"Adoption","Female","0",104,"1","1",11,"Monday",14,"1","Miniature Schnauzer Mix","Other"
"Adoption","Male","1",208,"1","1",2,"Wednesday",11,"1","Pit Bull Mix","Brown"
"Return_to_owner","Male","1",104,"1","1",6,"Monday",16,"1","Yorkshire Terrier Mix","Other"
"Return_to_owner","Male","1",52,"1","1",11,"Wednesday",15,"1","Great Pyrenees Mix","Other"
"Adoption","Male","1",12,"0","1",7,"Saturday",12,"1","Domestic Shorthair Mix","Orange Tabby/White"
"Transfer","Male","0",3,"0","1",5,"Saturday",16,"0","Domestic Shorthair Mix","Brown Tabby"
"Transfer","Female","0",2,"1","1",6,"Saturday",12,"0","Pit Bull Mix","Brown/White"
"Transfer","Female","1",104,"0","1",5,"Saturday",11,"0","Other","White"
"Return_to_owner","Male","1",52,"1","1",7,"Wednesday",17,"1","Other","Black"
"Transfer","Male","1",8,"1","1",1,"Sunday",15,"0","Other","Black/White"
"Transfer","Female","1",52,"0","1",9,"Friday",15,"1","Domestic Shorthair Mix","White"
"Adoption","Female","1",104,"1","0",8,"Saturday",14,"1","Other","Brown Brindle/White"
"Adoption","Male","1",40,"1","1",10,"Monday",16,"1","German Shepherd Mix","Brown/White"
"Return_to_owner","Male","1",8,"1","1",4,"Wednesday",17,"1","German Shepherd Mix","Black/Brown"
"Transfer","Female","1",4,"0","1",10,"Saturday",15,"0","Domestic Shorthair Mix","Orange Tabby"
"Adoption","Female","1",24,"1","1",1,"Friday",17,"1","Other","Chocolate/White"
"Adoption","Female","1",260,"1","1",3,"Wednesday",18,"1","Chihuahua Shorthair Mix","White/Tan"
"Adoption","Female","1",8,"0","1",11,"Saturday",13,"1","Domestic Shorthair Mix","Other"
"Return_to_owner","Male","1",364,"0","1",7,"Thursday",14,"1","Other","Blue"
"Euthanasia","Female","0",156,"0","1",1,"Friday",13,"1","Domestic Shorthair Mix","Calico"
"Transfer","Male","1",16,"1","1",7,"Wednesday",15,"0","Labrador Retriever Mix","Black/White"
"Adoption","Female","0",8,"0","1",7,"Thursday",17,"1","Domestic Shorthair Mix","Torbie"
"Return_to_owner","Male","1",260,"1","0",11,"Friday",13,"1","Other","Brown/Black"
"Transfer","Male","1",156,"1","1",4,"Saturday",16,"1","Chihuahua Shorthair Mix","Brown"
"Euthanasia","Male","0",156,"1","1",12,"Friday",14,"0","Labrador Retriever Mix","Other"
"Return_to_owner","Male","1",156,"1","1",10,"Thursday",11,"1","Pit Bull Mix","Brown/White"
"Transfer","Male","0",8,"0","1",7,"Wednesday",13,"0","Domestic Shorthair Mix","Blue/White"
"Transfer","Male","1",16,"0","1",8,"Tuesday",0,"1","Domestic Shorthair Mix","Black/White"
"Transfer","Male","0",3,"0","1",7,"Tuesday",12,"0","Domestic Shorthair Mix","Brown Tabby"
"Adoption","Female","1",364,"0","1",4,"Saturday",17,"1","Domestic Shorthair Mix","Blue Tabby"
"Transfer","Male","0",8,"0","1",6,"Tuesday",13,"0","Domestic Shorthair Mix","Orange Tabby"
"Transfer","Female","1",8,"0","1",12,"Monday",15,"0","Domestic Shorthair Mix","Brown Tabby"
"Transfer","Male","0",208,"0","1",1,"Tuesday",15,"0","Domestic Longhair Mix","Black/White"
"Adoption","Male","1",104,"0","1",5,"Wednesday",15,"1","Domestic Shorthair Mix","Black/White"
"Return_to_owner","Male","1",624,"1","0",8,"Wednesday",7,"1","Other","Tricolor"
"Return_to_owner","Female","1",468,"0","1",8,"Tuesday",11,"1","Domestic Shorthair Mix","White/Black"
"Transfer","Female","0",3,"0","1",5,"Tuesday",11,"0","Domestic Shorthair Mix","Black"
"Adoption","Female","1",20,"1","1",3,"Monday",17,"1","German Shepherd Mix","Black/Brown"
"Euthanasia","Male","0",312,"1","0",10,"Wednesday",15,"0","Other","Chocolate/White"
